product_name,category,normal_price,discount_price,reviews_count,rating,discount%,weighted_average
"Pharmaton Geriatric Συμπλήρωμα Διατροφής με Συνδυασμό Βιταμινών Μετάλλων Ιχνοστοιχείων & Ginseng G115, 30 Tabs","['Πολυβιταμίνες', 'Ανοσοποιητικό', 'Μνήμη - Εγκέφαλος', 'Κόπωση & Κούραση', 'Τόνωση Οφθαλμών']",15.03,10.52,6,4.8,0.3,5.28
Winmedica Sideral Folico 30 Disp.Sachets,"['Βιταμίνη C', 'Βιταμίνη D3', 'Σίδηρος', 'Εγκυμοσύνη - Θηλασμός', 'Συμπληρώματα Διατροφής για την Γυναίκα', 'Βιταμίνη Β12', 'Βιταμίνη B6']",26.7,20.56,0,0.0,0.23,0.0
Power of Nature Sport Series 100% Whey Protein Powder Vanilla Flavor 100% Πρωτεΐνη Ορού Γάλακτος Ιδανική για Αθλητές 1Kg,"['Πρωτεϊνη', 'Μαραθώνιος', 'Βιταμίνες Κατάλληλες για Vegetarian']",62.91,40.88,0,0.0,0.35,0.0
Chewy Vites Adults Hair Skin & Nails 60 Ζελεδάκια,"['Μαλλιά - Νύχια - Δέρμα', 'Βιταμίνες για Μαλλιά', 'Βιταμίνες για Τριχόπτωση']",23.5,14.8,6,4.8,0.37,5.28
Solgar Omnium tabs,"['Πολυβιταμίνες σε Κάψουλες', 'Πολυβιταμίνες', 'Κόπωση & Κούραση', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια', 'Βιταμίνες Κατάλληλες για Vegan']",37.03,25.18,3,4.0,0.32,3.6
Solgar Vitamin C 1000mg 100veg.caps,"['Βιταμίνη C - Κάψουλες', 'Βιταμίνη C', 'Ανοσοποιητικό', 'Κόπωση & Κούραση', 'Ενέργεια & Τόνωση', 'Αποτοξίνωση Οργανισμού', 'Βιταμίνες για Ενέργεια', 'Βιταμίνες Κατάλληλες για Vegan']",29.95,20.07,22,4.7,0.33,11.62
Lamberts Vitamin D3 4000iu 100μg 120caps,"['Βιταμίνη D3', 'Οστά - Αρθρώσεις', 'Ανοσοποιητικό', 'Γερά Δόντια']",27.26,17.71,15,5.0,0.35,9.0
Intermed FertilFix Woman Για τη Διαχείριση της Γυναικείας Υπογονιμότητας 30tabs,['Γονιμότητα'],86.2,51.73,0,0.0,0.4,0.0
Centrum Complete A to Zinc 60tabs,"['Πολυβιταμίνες', 'Ανοσοποιητικό', 'Ενέργεια & Τόνωση', 'Βιταμίνες για Ενέργεια']",21.94,15.35,1,5.0,0.3,3.4
Power Health Water Shape Συμπλήρωμα Διατροφής που Ενισχύει το Μεταβολισμό & Μειώνει την Κατακράτηση 14tabs,"['Κατακράτηση Υγρών', 'Βιταμίνες με Stevia']",18.2,10.01,10,4.6,0.45,6.76
